DRG v11.0,Description," Same-Day
Payment List","Bundled
ICU","Lower
Bound","Upper
Bound",PPSA - National,"Paediatric
Adjustment",Same Day,"Short-Stay Outlier
Base","Short-Stay Outlier
Per Diem",Inlier,"Long-Stay Outlier
Per Diem",PPSA - NSW,PPSA - Vic,PPSA - Qld,PPSA - SA,PPSA - WA,PPSA - Tas,PPSA - NT,PPSA - ACT,Unnamed: 21,Category,Adjustment,Unnamed: 24,Unnamed: 25,Private Patient Accommodation Adjustment,Same Day AA/ASA/NA,Overnight AA/ASA/NA,Same Day MH,Overnight MH,Unnamed: 31,Indigenous Status,Flag,Adj,Unnamed: 35,Patient Remoteness,Adjustment.1,Unnamed: 38,Funding ,Private Flag,Inscope Flag,Unnamed: 42,postcode,ra2021,Unnamed: 45,SA2,ra2021.1,Unnamed: 48,Caretype,Description.1,Inscope,Unnamed: 52,MDC 19/20,Age <= 17,Specialist Hospital,Code,Specialist Psych,Unnamed: 58,Funding Input,Selection,Unnamed: 61,IHPA DSS Data Set Selection,2011-12 and Earlier,Unnamed: 64,2012-13 and Later,Unnamed: 66,Adopted Private Flag,Adopted Inscope Flag,Unnamed: 69,HAC Group,Base Score,Age Group - 0-5,Age Group - 5-10,Age Group -10-15,Age Group - 15-20,Age Group - 20-25,Age Group - 25-30,Age Group - 30-35,Age Group - 35-40,Age Group - 40-45,Age Group - 45-50,Age Group - 50-55,Age Group - 55-60,Age Group - 60-65,Age Group - 65-70,Age Group - 70-75,Age Group - 75-80,Age Group - 80-85,Age Group - 85-90,Age Group - 90-95,Age Group - 95-99,Unnamed: 92,DRG v10.0,Type,MDC,Unnamed: 96,HAC Group.1,I,M,Unnamed: 100,HAC Group - MDC,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
A15C,"Tracheostomy, Minor Complexity",0.0,0.0,3.0,35.0,0.11,1.0,,0.8339,2.0528,6.9924,0.3397,0.216,0.109,0.035,0.081,0.08,0.11,0.11,0.11,,,,,,,,,,,,,,,,3,0.02,,11.0,0.0,0.0,,PC0835,2,,101031016.0,2.0,,7.1,Newborn qualified,,,,,,,,,,,,11.0,0.0,1.0,0.0,0.0,0.0,0,,12,36.8702,0,0,0,0.7797,0.7797,0.7797,3.6908,3.751,3.529,4.7804,4.8067,5.8068,6.1113,7.5532,8.8588,8.3132,9.8114,9.6473,9.8351,9.8351,,A14C,I,0,,12,1.6665,0,,12.0,0.0,-4.6977,-15.6375,-15.6375,-8.3698,-10.6821,-6.1263,-5.7388,-1.8585,-10.5977,-7.1683,-6.8196,-2.5626,-0.6768,14.6841,-20.6721,-12.7605,-2.9581,-4.5872,-1.94,-12.0055,-7.1809,-6.1263,-11.4088
A40Z,ECMO,0.0,0.0,3.0,31.0,0.104,1.68,,2.4847,7.259,24.2616,0.6382,0.154,0.083,0.035,0.081,0.08,0.104,0.104,0.104,,,,,,,,,,,,,,,,4,0.33,,12.0,0.0,0.0,,PC0836,2,,101041017.0,1.0,,7.2,Newborn part qualified,,,,,,,,,,,,12.0,0.0,0.0,0.0,0.0,0.0,0,,13,48.2994,0,0,0,0.8353,0.8353,0.8353,0.8353,0.5029,-0.0703,-0.091,-0.362,-0.1463,0.4062,0.6251,0.4623,0.6814,0.9851,1.393,1.5675,1.5675,,A15A,I,0,,13,3.7012,0,,13.0,0.0,-5.184,-7.7988,-9.0814,-5.6694,-7.1959,-4.8612,-2.9446,-5.3729,-7.6044,-3.6102,-6.226,-10.4953,-10.4953,-7.7988,-7.7988,-7.1347,-1.1842,-3.792,-1.5542,-8.1366,-6.0914,-5.6694,-6.9777
B01Z,Ventricular Shunt Revision,0.0,0.0,1.0,14.0,0.168,1.0,,,,3.143,0.3227,0.261,0.152,0.068,0.086,0.123,0.092,0.168,0.168,,,,,,,,,,,,,,,,,,,13.0,1.0,1.0,,PC0837,2,,101041018.0,1.0,,8,Other Admitted,,,,,,,,,,,,13.0,0.0,0.0,1.0,1.0,1.0,1,,14,47.1136,0,-2.5415,-2.7597,-2.1368,-1.106,-0.6157,-0.1922,0.585,1.2371,2.7653,3.3709,4.5571,5.5404,6.5431,7.1111,7.649,8.3149,9.0443,9.9062,9.9062,,A15B,I,0,,14,5.674,0,,14.0,0.0,-5.0772,-16.3408,-7.5876,-4.1066,-4.1815,-4.514,-1.8999,-2.3109,-6.3731,-4.3606,-4.4671,-5.546,-6.0396,-4.1897,-3.0576,-5.4514,-1.2435,-1.5891,-7.0841,-6.7109,-4.6944,-1.6881,-6.4546
B02A,"Cranial Interventions, Major Complexity",0.0,0.0,5.0,52.0,0.144,1.32,,1.8087,1.836,10.9888,0.3182,0.236,0.116,0.049,0.092,0.131,0.093,0.144,0.144,,,,,,,,,,,,,,,,,,,88.0,0.0,0.0,,PC0838,2,,101041019.0,2.0,,Error,Organ Procurement,,,,,,,,,,,,88.0,0.0,0.0,0.0,0.0,0.0,0,,15.2,52.9666,,,,,,,,,,,,,,,,,,,,,,A15C,I,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B02B,"Cranial Interventions, Intermediate Complexity",0.0,0.0,3.0,27.0,0.171,1.1,,1.8649,1.4811,6.3081,0.2649,0.258,0.162,0.088,0.092,0.112,0.093,0.171,0.171,,,,,,,,,,,,,,,,,,,98.0,0.0,0.0,,PC0839,2,,101041020.0,2.0,,Error,Hospital Boarder,,,,,,,,,,,,98.0,0.0,0.0,0.0,0.0,0.0,0,,,,,,,,,,,,,,,,,,,,,,,,,A40Z,I,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B02C,"Cranial Interventions, Minor Complexity",0.0,0.0,1.0,17.0,0.231,1.0,,,,3.9747,0.2619,0.335,0.255,0.106,0.09,0.17,0.093,0.231,0.231,,,,,,,,,,,,,,,,,,,,,,,PC0840,3,,101041021.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,B01Z,I,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B03A,"Spinal Interventions, Major Complexity",0.0,0.0,6.0,58.0,0.165,1.0,,2.698,1.4145,11.1852,0.3407,0.311,0.125,0.068,0.086,0.123,0.092,0.165,0.165,,,,,,,,,,,,,,,,,,,,,,,PC0841,2,,101041022.0,2.0,,,,,,,,,,,,,,,,,,,,,Gender,,HAC Group,Gender 1,Gender 2,adm_flag,emer_flag,ICU flag,,HAC Group,Low,Medium,High,,HAC15.2,PPOP flag,Primiparity,Foetal distress,Instrument use,,,,,,,B02A,I,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B03B,"Spinal Interventions, Intermediate Complexity",0.0,0.0,2.0,26.0,0.195,1.1,,2.5135,1.3811,5.2758,0.2638,0.345,0.125,0.068,0.086,0.123,0.092,0.195,0.195,,,,,,,,,,,,,,,,,,,,,,,PC0845,3,,101041023.0,2.0,,,,,,,,,,,,,,,,,,,,,1,,1,0,0,2.664,5.7242,8.9245,,1,1,66,72,,0,0,0,0,0,,,,,,,B02B,I,1,,,Readmissions,,,,,,,,,,,,,,,,,,,,,,,,,,,
B03C,"Spinal Interventions, Minor Complexity",0.0,0.0,1.0,10.0,0.211,1.24,,,,2.7448,0.3204,0.36,0.125,0.068,0.086,0.123,0.092,0.211,0.211,,,,,,,,,,,,,,,,,,,,,,,PC0846,3,,101041024.0,1.0,,,,,,,,,,,,,,,,,,,,,2,,2,0,-0.1259,2.2447,6.7791,3.5505,,2,1,54,60,,1,2.8358,-6.99,-1.6801,6.3178,,,,,,,B02C,I,1,,,Complexity group,,,,,,,,,,,,,,,,,,,,,,,,,,,
B04A,"Extracranial Vascular Interventions, Major Complexity",0.0,0.0,3.0,35.0,0.152,1.0,,1.3479,1.7088,6.4743,0.2782,0.252,0.134,0.068,0.086,0.123,0.092,0.152,0.152,,,,,,,,,,,,,,,,,,,,,,,PC0847,3,,101041025.0,2.0,,,,,,,,,,,,,,,,,,,,,3,,3,0,0.4581,2.422,4.0762,10.5152,,3,1,75,81,,,,,,,,,,,,,B03A,I,1,,Readm group,,Moderate,High,,,,,,,,,,,,,,,,,,,,,,,,,
