DRG v11.0,Description," Same-Day
Payment List","Bundled
ICU","Lower
Bound","Upper
Bound",PPSA - National,"Paediatric
Adjustment",Same Day,"Short-Stay Outlier
Base","Short-Stay Outlier
Per Diem",Inlier,"Long-Stay Outlier
Per Diem",PPSA - NSW,PPSA - Vic,PPSA - Qld,PPSA - SA,PPSA - WA,PPSA - Tas,PPSA - NT,PPSA - ACT,Unnamed: 21,Category,Adjustment,Unnamed: 24,Unnamed: 25,Private Patient Accommodation Adjustment,Same Day AA/ASA/NA,Overnight AA/ASA/NA,Same Day MH,Overnight MH,Unnamed: 31,Indigenous Status,Flag,Adj,Unnamed: 35,Patient Remoteness,Adjustment.1,Unnamed: 38,Funding ,Private Flag,Inscope Flag,Unnamed: 42,postcode,ra2021,Unnamed: 45,SA2,ra2021.1,Unnamed: 48,Caretype,Description.1,Inscope,Unnamed: 52,MDC 19/20,Age <= 17,Specialist Hospital,Code,Specialist Psych,Unnamed: 58,Funding Input,Selection,Unnamed: 61,IHPA DSS Data Set Selection,2011-12 and Earlier,Unnamed: 64,2012-13 and Later,Unnamed: 66,Adopted Private Flag,Adopted Inscope Flag,Unnamed: 69,HAC Group,Base Score,Age Group - 0-5,Age Group - 5-10,Age Group -10-15,Age Group - 15-20,Age Group - 20-25,Age Group - 25-30,Age Group - 30-35,Age Group - 35-40,Age Group - 40-45,Age Group - 45-50,Age Group - 50-55,Age Group - 55-60,Age Group - 60-65,Age Group - 65-70,Age Group - 70-75,Age Group - 75-80,Age Group - 80-85,Age Group - 85-90,Age Group - 90-95,Age Group - 95-99,Unnamed: 92,DRG v10.0,Type,MDC,Unnamed: 96,HAC Group.1,I,M,Unnamed: 100,HAC Group - MDC,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
E65B,"Chronic Obstructive Pulmonary Disease, Minor Complexity",0.0,0.0,1.0,8.0,0.077,1.0,,,,0.68,0.2282,0.113,0.048,0.038,0.041,0.039,0.025,0.012,0.077,,,,,,,,,,,,,,,,,,,,,,,PC2162,0,,108041164.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,E64A,M,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E66A,"Major Chest Trauma, Major Complexity",0.0,0.0,2.0,20.0,0.082,1.0,,0.0,1.0452,2.0903,0.2393,0.117,0.072,0.03,0.046,0.042,0.035,0.012,0.082,,,,,,,,,,,,,,,,,,,,,,,PC2163,0,,108041165.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,E64B,M,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E66B,"Major Chest Trauma, Minor Complexity",0.0,0.0,1.0,7.0,0.116,1.0,,,,0.6463,0.2728,0.173,0.09,0.032,0.055,0.042,0.035,0.012,0.116,,,,,,,,,,,,,,,,,,,,,,,PC2164,0,,108041166.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,E65A,M,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E67A,"Respiratory Signs and Symptoms, Major Complexity",1.0,0.0,1.0,12.0,0.096,0.8,0.3106,,,1.0699,0.2411,0.132,0.075,0.062,0.028,0.047,0.041,0.012,0.096,,,,,,,,,,,,,,,,,,,,,,,PC2165,0,,108041619.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,E65B,M,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E67B,"Respiratory Signs and Symptoms, Minor Complexity",1.0,0.0,1.0,4.0,0.09,0.8,0.1452,,,0.374,0.2439,0.11,0.098,0.098,0.064,0.035,0.041,0.012,0.09,,,,,,,,,,,,,,,,,,,,,,,PC2166,0,,108041620.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,E66A,M,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E68A,"Pneumothorax, Major Complexity",0.0,0.0,1.0,16.0,0.089,1.0,,,,1.6135,0.2801,0.127,0.07,0.05,0.058,0.048,0.035,0.012,0.089,,,,,,,,,,,,,,,,,,,,,,,PC2167,0,,108051167.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,E66B,M,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E68B,"Pneumothorax, Minor Complexity",0.0,0.0,1.0,7.0,0.108,1.26,,,,0.6539,0.2799,0.153,0.063,0.064,0.058,0.048,0.035,0.012,0.108,,,,,,,,,,,,,,,,,,,,,,,PC2168,0,,108051168.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,E67A,M,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E69A,"Bronchitis and Asthma, Major Complexity",0.0,0.0,1.0,9.0,0.074,1.1,,,,0.728,0.244,0.108,0.048,0.039,0.038,0.039,0.035,0.012,0.074,,,,,,,,,,,,,,,,,,,,,,,PC2170,0,,108051169.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,E67B,M,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E69B,"Bronchitis and Asthma, Minor Complexity",0.0,0.0,1.0,4.0,0.08,0.8,,,,0.2952,0.2263,0.096,0.071,0.056,0.042,0.051,0.035,0.012,0.08,,,,,,,,,,,,,,,,,,,,,,,PC2171,0,,108051170.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,E68A,M,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E70A,"Whooping Cough and Acute Bronchiolitis, Major Complexity",0.0,0.0,1.0,8.0,0.034,0.89,,,,0.9847,0.3553,0.044,0.04,0.024,0.017,0.026,0.035,0.012,0.034,,,,,,,,,,,,,,,,,,,,,,,PC2172,0,,108051171.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,E68B,M,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E70B,"Whooping Cough and Acute Bronchiolitis, Minor Complexity",0.0,0.0,1.0,6.0,0.035,0.8,,,,0.5616,0.3381,0.046,0.032,0.024,0.013,0.023,0.035,0.012,0.035,,,,,,,,,,,,,,,,,,,,,,,PC2173,0,,109011172.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,E69A,M,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E71A,"Respiratory Neoplastic Disorders, Major Complexity",0.0,0.0,2.0,25.0,0.081,1.0,,0.0,1.2778,2.5557,0.2447,0.126,0.071,0.048,0.039,0.073,0.035,0.012,0.081,,,,,,,,,,,,,,,,,,,,,,,PC2174,0,,109011173.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,E69B,M,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E71B,"Respiratory Neoplastic Disorders, Minor Complexity",1.0,0.0,1.0,12.0,0.105,1.8,0.3323,,,1.1252,0.2258,0.145,0.088,0.076,0.067,0.099,0.035,0.012,0.105,,,,,,,,,,,,,,,,,,,,,,,PC2175,0,,109011174.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,E70A,M,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E72Z,Respiratory Problems Arising from Neonatal Period,0.0,0.0,1.0,8.0,0.08,1.05,,,,0.6262,0.3503,0.112,0.064,0.042,0.049,0.048,0.035,0.012,0.08,,,,,,,,,,,,,,,,,,,,,,,PC2176,0,,109011175.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,E70B,M,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E73A,"Pleural Effusion, Major Complexity",0.0,0.0,2.0,26.0,0.091,1.0,,0.0,1.2919,2.5838,0.2502,0.13,0.079,0.056,0.061,0.048,0.035,0.012,0.091,,,,,,,,,,,,,,,,,,,,,,,PC2177,0,,109011176.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,E71A,M,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E73B,"Pleural Effusion, Intermediate Complexity",0.0,0.0,1.0,14.0,0.121,1.0,,,,1.2513,0.2322,0.156,0.072,0.061,0.061,0.048,0.035,0.012,0.121,,,,,,,,,,,,,,,,,,,,,,,PC2178,0,,109021177.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,E71B,M,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E73C,"Pleural Effusion, Minor Complexity",1.0,0.0,1.0,9.0,0.155,1.0,0.2155,,,0.8309,0.2114,0.221,0.079,0.061,0.061,0.048,0.035,0.012,0.155,,,,,,,,,,,,,,,,,,,,,,,PC2179,0,,109021178.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,E72Z,M,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E74A,"Interstitial Lung Disease, Major Complexity",0.0,0.0,2.0,23.0,0.079,1.0,,0.0,1.0406,2.0812,0.2362,0.108,0.069,0.047,0.043,0.062,0.035,0.012,0.079,,,,,,,,,,,,,,,,,,,,,,,PC2190,0,,109021179.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,E73A,M,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E74B,"Interstitial Lung Disease, Minor Complexity",1.0,0.0,1.0,11.0,0.092,1.18,0.1968,,,1.0301,0.2218,0.124,0.093,0.057,0.043,0.05,0.035,0.012,0.092,,,,,,,,,,,,,,,,,,,,,,,PC2191,0,,109031180.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,E73B,M,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E75A,"Other Respiratory System Disorders, Major Complexity",1.0,0.0,1.0,14.0,0.069,1.23,0.2074,,,1.1992,0.2372,0.113,0.057,0.04,0.034,0.051,0.035,0.012,0.069,,,,,,,,,,,,,,,,,,,,,,,PC2192,0,,109031181.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,E73C,M,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E75B,"Other Respiratory System Disorders, Minor Complexity",0.0,0.0,1.0,4.0,0.107,0.8,,,,0.3079,0.2233,0.164,0.079,0.071,0.05,0.071,0.035,0.012,0.107,,,,,,,,,,,,,,,,,,,,,,,PC2193,0,,109031182.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,E74A,M,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E76A,"Respiratory Tuberculosis, Major Complexity",0.0,0.0,11.0,25.0,0.08,1.0,,0.0,0.4027,4.4298,0.2264,0.112,0.064,0.042,0.049,0.048,0.035,0.012,0.08,,,,,,,,,,,,,,,,,,,,,,,PC2194,0,,109031183.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,E74B,M,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E76B,"Respiratory Tuberculosis, Minor Complexity",0.0,0.0,1.0,15.0,0.08,1.0,,,,1.1333,0.2669,0.112,0.064,0.042,0.049,0.048,0.035,0.012,0.08,,,,,,,,,,,,,,,,,,,,,,,PC2195,0,,109031184.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,E75A,M,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E77A,"Bronchiectasis, Major Complexity",0.0,0.0,2.0,24.0,0.059,2.0,,0.0,1.1521,2.3042,0.2374,0.079,0.05,0.025,0.049,0.048,0.035,0.012,0.059,,,,,,,,,,,,,,,,,,,,,,,PC2196,0,,109031185.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,E75B,M,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E77B,"Bronchiectasis, Minor Complexity",0.0,0.0,1.0,15.0,0.06,2.0,,,,1.1335,0.1775,0.089,0.05,0.042,0.049,0.048,0.035,0.012,0.06,,,,,,,,,,,,,,,,,,,,,,,PC2197,0,,110011186.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,E76A,M,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
F01A,"Implantation and Replacement of AICD, Total System, Major Complexity",0.0,0.0,3.0,30.0,0.533,1.0,,3.4049,1.4747,7.8291,0.2895,0.612,0.611,0.471,0.187,0.182,0.199,0.031,0.533,,,,,,,,,,,,,,,,,,,,,,,PC2198,0,,110011187.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,E76B,M,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
F01B,"Implantation and Replacement of AICD, Total System, Minor Complexity",0.0,0.0,1.0,6.0,0.548,1.0,,,,3.7778,0.3732,0.671,0.647,0.507,0.187,0.182,0.199,0.031,0.548,,,,,,,,,,,,,,,,,,,,,,,PC2199,0,,110011188.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,E77A,M,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
F02Z,Other AICD Interventions,0.0,0.0,1.0,12.0,0.242,1.0,,,,2.7034,0.3296,0.311,0.241,0.16,0.187,0.182,0.199,0.031,0.242,,,,,,,,,,,,,,,,,,,,,,,PC2200,0,,110011189.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,E77B,M,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
F03A,"Cardiac Valve Interventions with CPB Pump with Invasive Cardiac Investigation, Major Complexity",0.0,0.0,8.0,74.0,0.242,1.0,,4.4596,1.3535,15.2876,0.3407,0.311,0.241,0.16,0.187,0.182,0.199,0.031,0.242,,,,,,,,,,,,,,,,,,,,,,,PC2203,0,,110021190.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F01A,I,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
F03B,"Cardiac Valve Interventions with CPB Pump with Invasive Cardiac Investigation, Minor Complexity",0.0,0.0,3.0,33.0,0.242,1.0,,4.4955,2.1556,10.9625,0.2645,0.311,0.241,0.16,0.187,0.182,0.199,0.031,0.242,,,,,,,,,,,,,,,,,,,,,,,PC2204,0,,110021191.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F01B,I,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
F04A,"Cardiac Valve Interventions with CPB Pump without Invasive Cardiac Investigation, Major Complexity",0.0,0.0,5.0,52.0,0.156,1.18,,4.491,1.6919,12.9506,0.2991,0.313,0.241,0.16,0.187,0.182,0.199,0.031,0.156,,,,,,,,,,,,,,,,,,,,,,,PC2205,0,,110021192.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F02Z,I,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
F04B,"Cardiac Valve Interventions with CPB Pump without Invasive Cardiac Investigation, Intermediate Complexity",0.0,0.0,2.0,27.0,0.175,1.05,,4.1102,2.312,8.7341,0.3,0.313,0.241,0.16,0.187,0.182,0.199,0.031,0.175,,,,,,,,,,,,,,,,,,,,,,,PC2206,0,,110021193.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F03A,I,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
F04C,"Cardiac Valve Interventions with CPB Pump without Invasive Cardiac Investigation, Minor Complexity",0.0,0.0,2.0,22.0,0.18,1.07,,4.3615,1.4439,7.2494,0.2896,0.313,0.241,0.16,0.187,0.182,0.199,0.031,0.18,,,,,,,,,,,,,,,,,,,,,,,PC2207,0,,110021194.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F03B,I,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
F05A,"Coronary Bypass with Invasive Cardiac Investigation, Major Complexity",0.0,0.0,5.0,52.0,0.147,1.0,,3.5458,1.5315,11.2033,0.3034,0.223,0.134,0.16,0.187,0.182,0.199,0.031,0.147,,,,,,,,,,,,,,,,,,,,,,,PC2208,0,,110031195.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F04A,I,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
F05B,"Coronary Bypass with Invasive Cardiac Investigation, Minor Complexity",0.0,0.0,4.0,36.0,0.155,1.0,,2.8494,1.3994,8.4471,0.2956,0.233,0.134,0.16,0.187,0.182,0.199,0.031,0.155,,,,,,,,,,,,,,,,,,,,,,,PC2209,0,,110031196.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F04B,I,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
F06A,"Coronary Bypass without Invasive Cardiac Investigation, Major Complexity",0.0,0.0,4.0,37.0,0.161,1.0,,3.0522,1.5693,9.3293,0.3367,0.226,0.241,0.16,0.187,0.182,0.199,0.031,0.161,,,,,,,,,,,,,,,,,,,,,,,PC2210,0,,110031197.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F04C,I,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
F06B,"Coronary Bypass without Invasive Cardiac Investigation, Intermediate Complexity",0.0,0.0,2.0,24.0,0.18,1.0,,2.2966,2.2172,6.731,0.2984,0.226,0.241,0.16,0.187,0.182,0.199,0.031,0.18,,,,,,,,,,,,,,,,,,,,,,,PC2211,0,,110031198.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F05A,I,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
F06C,"Coronary Bypass without Invasive Cardiac Investigation, Minor Complexity",0.0,0.0,2.0,19.0,0.182,1.0,,2.2045,1.8283,5.861,0.2714,0.226,0.241,0.16,0.187,0.182,0.199,0.031,0.182,,,,,,,,,,,,,,,,,,,,,,,PC2212,0,,110041199.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F05B,I,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
F07A,"Other Cardiothoracic/Vascular Interventions with CPB Pump, Major Complexity",0.0,0.0,4.0,39.0,0.139,1.19,,3.9719,2.1757,12.6746,0.4178,0.276,0.241,0.16,0.187,0.182,0.199,0.031,0.139,,,,,,,,,,,,,,,,,,,,,,,PC2213,0,,110041200.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F06A,I,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
F07B,"Other Cardiothoracic/Vascular Interventions with CPB Pump, Intermediate Complexity",0.0,0.0,2.0,23.0,0.18,1.0,,2.6535,2.8293,8.3121,0.4128,0.276,0.241,0.16,0.187,0.182,0.199,0.031,0.18,,,,,,,,,,,,,,,,,,,,,,,PC2214,0,,110041201.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F06B,I,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
F07C,"Other Cardiothoracic/Vascular Interventions with CPB Pump, Minor Complexity",0.0,0.0,1.0,17.0,0.151,1.0,,,,5.8343,0.3582,0.276,0.241,0.16,0.187,0.182,0.199,0.031,0.151,,,,,,,,,,,,,,,,,,,,,,,PC2216,0,,110041202.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F06C,I,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
F08A,"Major Reconstructive Vascular Interventions without CPB Pump, Major Complexity",0.0,0.0,5.0,51.0,0.151,1.0,,3.7688,1.4497,11.0174,0.3363,0.2,0.196,0.1,0.144,0.182,0.199,0.031,0.151,,,,,,,,,,,,,,,,,,,,,,,PC2217,0,,110041203.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F07A,I,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
F08B,"Major Reconstructive Vascular Interventions without CPB Pump, Intermediate Complexity",0.0,0.0,2.0,24.0,0.262,1.0,,3.4309,1.4943,6.4196,0.2386,0.343,0.196,0.1,0.144,0.182,0.199,0.031,0.262,,,,,,,,,,,,,,,,,,,,,,,PC2218,0,,110041204.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F07B,I,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
F08C,"Major Reconstructive Vascular Interventions without CPB Pump, Minor Complexity",0.0,0.0,1.0,14.0,0.28,1.0,,,,4.1857,0.2916,0.368,0.196,0.1,0.144,0.182,0.199,0.031,0.28,,,,,,,,,,,,,,,,,,,,,,,PC2219,0,,110041205.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F07C,I,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
F09A,"Other Cardiothoracic Interventions without CPB Pump, Major Complexity",0.0,0.0,3.0,33.0,0.15,1.07,,1.3336,1.8089,6.7604,0.3118,0.2,0.241,0.16,0.187,0.182,0.199,0.031,0.15,,,,,,,,,,,,,,,,,,,,,,,PC2220,0,,111011206.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F08A,I,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
F09B,"Other Cardiothoracic Interventions without CPB Pump, Minor Complexity",0.0,0.0,1.0,11.0,0.168,1.0,,,,2.8992,0.3904,0.265,0.241,0.16,0.187,0.182,0.199,0.031,0.168,,,,,,,,,,,,,,,,,,,,,,,PC2221,0,,111011207.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F08B,I,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
F10A,"Interventional Coronary Procedures, Admitted for AMI, Major Complexity",0.0,0.0,2.0,21.0,0.204,1.0,,0.834,1.3915,3.6171,0.2986,0.276,0.169,0.128,0.235,0.254,0.129,0.031,0.204,,,,,,,,,,,,,,,,,,,,,,,PC2222,0,,111011208.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F08C,I,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
F10B,"Interventional Coronary Procedures, Admitted for AMI, Minor Complexity",0.0,0.0,1.0,9.0,0.308,1.0,,,,2.0103,0.3176,0.42,0.257,0.186,0.267,0.275,0.14,0.031,0.308,,,,,,,,,,,,,,,,,,,,,,,PC2223,0,,111011209.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F09A,I,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
F11A,"Amputation, Excluding Upper Limb and Toe, for Circulatory Disorders, Major Complexity",0.0,0.0,10.0,91.0,0.086,1.0,,2.4775,1.2046,14.5235,0.2778,0.311,0.241,0.16,0.187,0.182,0.199,0.031,0.086,,,,,,,,,,,,,,,,,,,,,,,PC2224,0,,111011210.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F09B,I,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
F11B,"Amputation, Excluding Upper Limb and Toe, for Circulatory Disorders, Minor Complexity",0.0,0.0,6.0,55.0,0.086,1.0,,1.0992,1.123,7.8371,0.3081,0.311,0.241,0.16,0.187,0.182,0.199,0.031,0.086,,,,,,,,,,,,,,,,,,,,,,,PC2225,0,,111011211.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F10A,I,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
F12A,"Implantation and Replacement of Pacemaker, Total System, Major Complexity",0.0,0.0,2.0,21.0,0.326,1.0,,1.5848,1.2083,4.0015,0.2678,0.377,0.353,0.265,0.283,0.278,0.199,0.031,0.326,,,,,,,,,,,,,,,,,,,,,,,PC2226,0,,111011212.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F10B,I,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
F12B,"Implantation and Replacement of Pacemaker, Total System, Minor Complexity",1.0,0.0,1.0,8.0,0.474,1.0,1.3778,,,2.3091,0.2389,0.645,0.517,0.406,0.346,0.265,0.199,0.031,0.474,,,,,,,,,,,,,,,,,,,,,,,PC2227,0,,111011213.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F11A,I,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
F13A,"Amputation, Upper Limb and Toe, for Circulatory Disorders, Major Complexity",0.0,0.0,13.0,30.0,0.108,1.0,,0.7713,0.5319,7.6858,0.2757,0.165,0.241,0.16,0.187,0.182,0.199,0.031,0.108,,,,,,,,,,,,,,,,,,,,,,,PC2228,0,,111011214.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F11B,I,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
F13B,"Amputation, Upper Limb and Toe, for Circulatory Disorders, Minor Complexity",0.0,0.0,2.0,24.0,0.142,1.0,,0.4726,1.3118,3.0962,0.2337,0.199,0.241,0.16,0.187,0.182,0.199,0.031,0.142,,,,,,,,,,,,,,,,,,,,,,,PC2229,0,,111021215.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F12A,I,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
F14A,"Vascular Interventions, Excluding Major Reconstruction, without CPB Pump, Major Complexity",0.0,0.0,4.0,36.0,0.148,1.59,,1.4881,1.3112,6.7328,0.293,0.227,0.181,0.067,0.099,0.234,0.199,0.031,0.148,,,,,,,,,,,,,,,,,,,,,,,PC2230,0,,111021216.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F12B,I,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
F14B,"Vascular Interventions, Excluding Major Reconstruction, without CPB Pump, Intermediate Complexity",0.0,0.0,1.0,12.0,0.218,1.13,,,,2.7952,0.2667,0.322,0.197,0.077,0.095,0.234,0.199,0.031,0.218,,,,,,,,,,,,,,,,,,,,,,,PC2231,0,,111021217.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F13A,I,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
F14C,"Vascular Interventions, Excluding Major Reconstruction, without CPB Pump, Minor Complexity",0.0,0.0,1.0,5.0,0.271,1.1,,,,1.5336,0.3521,0.395,0.256,0.086,0.12,0.336,0.199,0.031,0.271,,,,,,,,,,,,,,,,,,,,,,,PC2232,0,,111021218.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F13B,I,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
