,mins,maxs
1,-12.35128428574309,-8.864506963004676
2,-8.167126539351816,-3.6891222153908054
3,-18.111749869739203,-3.5110451669977003
4,-13.486237174540909,-4.912561134568357
5,-13.36086486474486,-5.324136603237121
6,-12.029810589888857,-5.389482089521897
7,-12.145746823980357,-6.761017613896422
8,-11.402580904154098,-5.790477178380546
9,-13.338820668917158,-5.141271654540644
10,-11.800477358613335,-2.690246272971726
11,-9.579842429733079,-4.988468418946703
12,-10.679362679418709,-5.341492543611776
