,1,2,3,4,5,6,7,8,9,10,11,12
0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
1,0.481,0.562,0.247,0.575,0.714,0.526,0.507,0.446,0.476,0.518,0.439,0.557
2,0.356,0.471,0.237,0.495,0.652,0.451,0.38,0.363,0.426,0.462,0.337,0.415
