,mins,maxs
1,-12.643104566083894,-8.815610905646215
2,-8.51525530561901,-3.7172061764745794
3,-18.5936135972512,-3.5345097673394346
4,-12.8694371314543,-5.03011927117342
5,-13.016489914039955,-5.352727588229793
6,-11.725012682640394,-5.653693336091471
7,-10.944525386145383,-6.726907114867055
8,-10.41446905960609,-5.933798533853446
9,-12.242658968988556,-5.395616600535728
10,-11.604507834848315,-2.723902401557156
11,-9.789426966826836,-4.938324345290265
12,-11.002786947279727,-5.4315482352555815
