,mins,maxs
1,-13.835984339937879,-7.89855259201676
2,-7.82921701953334,-3.7653198507697114
3,-13.207312568237205,-3.6179087246810364
4,-10.042987485459712,-4.701388492308176
5,-9.550386394521873,-5.489893755935884
6,-9.335790537874551,-5.6188262556629525
7,-11.012357279816205,-6.748623395364171
8,-12.039092110144061,-5.594395350858598
9,-12.0986452708764,-5.019984488757021
10,-10.991112939930751,-2.8136446085771385
11,-9.591657448778747,-4.963032935484277
12,-11.252210375769712,-5.387737694146168
