,1,2,3,4,5,6,7,8,9,10,11,12
0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
1,0.394,0.507,0.209,0.348,0.514,0.284,0.316,0.4,0.386,0.457,0.406,0.544
2,0.308,0.409,0.196,0.258,0.42,0.209,0.205,0.337,0.333,0.389,0.299,0.402
