,mins,maxs
1,-14.2409533945437,-8.467211221321126
2,-8.194089954750913,-3.6927748136956495
3,-19.323410328603206,-3.5407660288043443
4,-10.867056676902124,-5.103893074243873
5,-12.560975058338991,-5.382484195022921
6,-12.472794720147698,-5.3845582098015825
7,-11.28779556374639,-6.846937291254229
8,-12.126313668078136,-5.574777348513873
9,-13.231017734626443,-5.020526279757131
10,-11.536166411241911,-2.740272112315076
11,-9.713811262601292,-4.942511117650332
12,-10.902442591441861,-5.325231305297549
